Designator,Mid X,Mid Y,Rotation,Layer
C10,34.29,-60.96,90.0,top
C11,113.03,-78.105,180.0,top
C12,124.46,-78.105,180.0,top
C13,101.6,-60.96,180.0,top
C16,226.695,-78.105,0.0,top
C22,165.08,-78.74,0.0,top
C23,113.03,-104.14,0.0,top
C24,145.415,-129.54,180.0,top
C25,104.14,-104.14,180.0,top
C26,145.415,-118.745,180.0,top
C27,137.16,-133.35,90.0,top
C28,132.08,-133.28238,90.0,top
C29,114.113621,-134.112,0.0,top
C30,224.785,-133.305113,90.0,top
C32,197.48,-123.17,90.0,top
C33,220.34,-133.35,90.0,top
C35,179.07,-126.365,0.0,top
C36,217.165,-123.19,90.0,top
C38,142.875,-105.5,180.0,top
C39,142.875,-90.26,180.0,top
C4,62.865,-67.945,90.0,top
C40,34.29,-128.27,270.0,top
C41,74.676,-121.92,270.0,top
C42,153.015,-78.74,180.0,top
C44,218.44,-78.105,0.0,top
C49,115.55,-73.66,0.0,top
C5,91.44,-62.23,180.0,top
C50,121.94,-73.66,0.0,top
C51,109.24,-73.66,0.0,top
C52,45.72,-60.94,270.0,top
C53,132.08,-127.635,0.0,top
C54,235.082323,-123.19,0.0,top
C55,224.287323,-123.19,0.0,top
C56,75.565,-105.938,270.0,top
C57,138.43,-107.442,270.0,top
C6,73.025,-67.945,270.0,top
C7,52.705,-67.945,270.0,top
C70,175.26,-78.74,180.0,top
C72,143.51,-81.28,90.0,top
C8,103.505,-73.025,90.0,top
C9,184.15,-78.105,0.0,top
D1,236.723,-74.295,0.0,top
D2,236.723,-60.325,0.0,top
D3,236.723,-67.31,0.0,top
F1,122.56,-52.832,90.0,top
IC1,161.798,-96.52,90.0,top
J1,31.115,-111.76,0.0,top
J10,68.815,-52.7,180.0,top
J2,152.4,-53.455331,180.0,top
J3,206.375,-62.22111,180.0,top
J4,114.305,-127.0,270.0,top
J5,131.8355,-92.71,0.0,top
J7,104.375,-53.53,180.0,top
J8,44.885,-51.44,180.0,top
J9,193.67,-123.185,0.0,top
Q2,201.925,-122.915,0.0,top
Q3,57.15,-67.945,0.0,top
Q4,68.58,-67.945,0.0,top
Q5,99.06,-73.025,0.0,top
R10,73.025,-59.055,0.0,top
R11,68.58,-72.39,180.0,top
R12,99.06,-68.58,0.0,top
R13,99.06,-65.405,0.0,top
R14,99.06,-77.47,180.0,top
R15,83.185,-59.055,0.0,top
R16,83.185,-62.23,180.0,top
R19,210.185,-78.105,180.0,top
R26,104.902,-134.28556,180.0,top
R27,104.902,-130.81,180.0,top
R28,104.902,-127.508,180.0,top
R29,140.335,-130.81,90.0,top
R30,200.02,-130.81,90.0,top
R31,217.165,-130.81,270.0,top
R32,203.195,-130.81,90.0,top
R33,210.18,-123.19,0.0,top
R34,52.705,-62.23,0.0,top
R35,52.705,-59.055,0.0,top
R38,231.775,-73.152,90.0,top
R39,231.775,-61.722,270.0,top
R6,57.15,-72.39,0.0,top
R7,62.865,-62.23,0.0,top
R8,62.865,-59.055,0.0,top
R9,73.025,-62.23,0.0,top
RN2,138.43,-92.71,270.0,top
RN3,198.12,-78.105,0.0,top
RV1,95.25,-129.54,90.0,top
SW1,186.69,-123.825,0.0,top
U17,123.195,-130.81,0.0,top
U18,210.185,-130.81,0.0,top
U2,154.945,-67.945,90.0,top
U20,54.61,-120.65,0.0,top
U21,68.585,-87.63,0.0,top
U22,121.925,-92.71,0.0,top
U23,83.82,-82.55,0.0,top
U24,99.065,-90.17,0.0,top
U25,115.57,-64.765,90.0,top
U26,40.005,-60.96,270.0,top
U27,41.91,-82.55,0.0,top
U28,199.39,-88.9,90.0,top
U29,231.14,-97.79,0.0,top
U3,118.11,-115.57,90.0,top
U30,57.155,-87.63,0.0,top
U31,161.798,-122.55,90.0,top
U32,110.495,-90.17,0.0,top
U33,161.798,-133.345,90.0,top
U40,199.39,-107.95,90.0,top
U8,186.69,-133.345,90.0,top
X1,88.265,-108.585,0.0,top
Y2,142.875,-97.89,90.0,top
