C10:1
C11:1
C12:1
C13:1
C16:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C30:1
C32:1
C33:1
C35:1
C36:1
C38:1
C39:1
C4:1
C40:1
C41:1
C42:1
C44:1
C49:1
C5:1
C50:1
C51:1
C52:1
C53:1
C54:1
C55:1
C56:1
C57:1
C6:1
C7:1
C70:1
C72:1
C8:1
C9:1
D1:1
D2:1
D3:1
F1:1
G***:1
H1:1
H2:1
H3:1
H4:1
IC1:1
J1:1
J10:1
J2:1
J3:1
J4:1
J5:1
J7:1
J8:1
J9:1
JP1:1
Q2:1
Q3:1
Q4:1
Q5:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R19:1
R26:1
R27:1
R28:1
R29:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R38:1
R39:1
R6:1
R7:1
R8:1
R9:1
REF**:4
RN2:1
RN3:1
RV1:1
SW1:1
U17:1
U18:1
U2:1
U20:1
U21:1
U22:1
U23:1
U24:1
U25:1
U26:1
U27:1
U28:1
U29:1
U3:1
U30:1
U31:1
U32:1
U33:1
U40:1
U8:1
X1:1
Y2:1
